epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,305.947,0.5769,0.88777,0.85464,0.90318,0.67574,0.83421,0.7512,0.53362,1.07106,0.83454,0.000407543,0.000407543,0.000407543
126,308.367,0.52125,0.82907,0.83324,0.5644,0.81667,0.84137,0.76878,0.53526,1.06813,0.83659,0.000406088,0.000406088,0.000406088
127,310.874,0.5465,0.87497,0.84966,0.5644,0.81667,0.84137,0.76878,0.53526,1.06813,0.83659,0.000404632,0.000404632,0.000404632
128,313.38,0.60716,0.8657,0.86955,0.59723,0.81667,0.8344,0.75591,0.52514,1.06382,0.83418,0.000403177,0.000403177,0.000403177
129,315.609,0.53851,0.8538,0.84646,0.59723,0.81667,0.8344,0.75591,0.52514,1.06382,0.83418,0.000401722,0.000401722,0.000401722
130,317.92,0.53901,0.81468,0.85879,0.64512,0.81667,0.83238,0.75003,0.52444,1.04452,0.8332,0.000400266,0.000400266,0.000400266
131,320.332,0.53046,0.77687,0.8365,0.64512,0.81667,0.83238,0.75003,0.52444,1.04452,0.8332,0.000398811,0.000398811,0.000398811
132,322.697,0.54344,0.78989,0.84559,0.75092,0.81667,0.84073,0.7471,0.52993,1.02027,0.83351,0.000397356,0.000397356,0.000397356
133,325.074,0.58785,0.82129,0.85363,0.75092,0.81667,0.84073,0.7471,0.52993,1.02027,0.83351,0.0003959,0.0003959,0.0003959
134,327.563,0.55462,0.82979,0.81094,0.75294,0.84251,0.85214,0.76169,0.52767,0.967,0.83438,0.000394445,0.000394445,0.000394445
135,330.135,0.52139,0.79178,0.82303,0.75294,0.84251,0.85214,0.76169,0.52767,0.967,0.83438,0.00039299,0.00039299,0.00039299
136,332.701,0.484,0.81977,0.86327,0.7289,0.84474,0.8754,0.77858,0.52271,0.90976,0.83488,0.000391534,0.000391534,0.000391534
137,335.114,0.5386,0.82321,0.88812,0.7289,0.84474,0.8754,0.77858,0.52271,0.90976,0.83488,0.000390079,0.000390079,0.000390079
138,337.534,0.549,0.81248,0.8466,0.72515,0.84483,0.88978,0.78485,0.51936,0.84477,0.83965,0.000388624,0.000388624,0.000388624
