epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,250.741,0.62712,1.38687,0.86834,0.86673,0.97596,0.995,0.88298,0.5213,0.8027,0.82673,0.000591784,0.000591784,0.000591784
119,252.894,0.68285,0.97623,0.89404,0.86673,0.97596,0.995,0.88298,0.5213,0.8027,0.82673,0.000589722,0.000589722,0.000589722
120,255.043,0.6579,0.95737,0.86988,0.91155,0.96551,0.995,0.88711,0.52123,0.7552,0.82389,0.000587661,0.000587661,0.000587661
121,257.148,0.75181,1.03598,0.87841,0.91155,0.96551,0.995,0.88711,0.52123,0.7552,0.82389,0.000585599,0.000585599,0.000585599
122,259.325,0.71137,1.0711,0.84689,0.92134,0.96239,0.995,0.87887,0.5347,0.75452,0.82588,0.000583537,0.000583537,0.000583537
123,261.504,0.61472,0.85168,0.86665,0.92134,0.96239,0.995,0.87887,0.5347,0.75452,0.82588,0.000581476,0.000581476,0.000581476
124,263.767,0.69302,1.14654,0.86203,0.91514,0.96419,0.995,0.88717,0.55945,0.76951,0.83806,0.000579414,0.000579414,0.000579414
125,265.932,0.75354,0.9634,0.89499,0.91514,0.96419,0.995,0.88717,0.55945,0.76951,0.83806,0.000577352,0.000577352,0.000577352
126,268.102,0.6353,0.82438,0.89394,0.91444,0.9594,0.995,0.8996,0.57483,0.76561,0.84674,0.000575291,0.000575291,0.000575291
127,270.246,0.70044,0.82533,0.89469,0.91444,0.9594,0.995,0.8996,0.57483,0.76561,0.84674,0.000573229,0.000573229,0.000573229
128,272.417,0.65089,0.77302,0.8393,0.9268,0.96894,0.995,0.89959,0.52807,0.74332,0.83375,0.000571167,0.000571167,0.000571167
129,274.498,0.64952,0.89819,0.90619,0.9268,0.96894,0.995,0.89959,0.52807,0.74332,0.83375,0.000569106,0.000569106,0.000569106
130,276.626,0.69654,0.90068,0.82172,0.92014,0.97361,0.995,0.89547,0.48367,0.72883,0.8213,0.000567044,0.000567044,0.000567044
131,278.705,0.59698,1.082,0.86188,0.92014,0.97361,0.995,0.89547,0.48367,0.72883,0.8213,0.000564982,0.000564982,0.000564982
132,280.918,0.64234,0.87953,0.89453,0.91002,0.98654,0.995,0.90792,0.47714,0.70517,0.82197,0.000562921,0.000562921,0.000562921
133,283.043,0.54199,1.13039,0.9099,0.91002,0.98654,0.995,0.90792,0.47714,0.70517,0.82197,0.000560859,0.000560859,0.000560859
134,285.238,0.69857,0.90657,0.85802,0.93347,0.96901,0.995,0.90376,0.47916,0.67359,0.82098,0.000558797,0.000558797,0.000558797
135,287.277,0.68655,0.87333,0.83504,0.93347,0.96901,0.995,0.90376,0.47916,0.67359,0.82098,0.000556736,0.000556736,0.000556736
136,289.494,0.74545,0.8657,0.86753,0.94741,0.98639,0.995,0.8706,0.49728,0.69214,0.82741,0.000554674,0.000554674,0.000554674
137,291.576,0.59821,0.71272,0.88352,0.94741,0.98639,0.995,0.8706,0.49728,0.69214,0.82741,0.000552612,0.000552612,0.000552612
138,293.742,0.61835,0.96163,0.86882,0.96312,1,0.995,0.8623,0.5574,0.70872,0.841,0.000550551,0.000550551,0.000550551
139,295.904,0.69504,0.84879,0.81333,0.96312,1,0.995,0.8623,0.5574,0.70872,0.841,0.000548489,0.000548489,0.000548489
